Hour,Actual Total Load [%] - BZN|PL
00:00 - 01:00,3.5466757880275757
01:00 - 02:00,3.4200834919993985
02:00 - 03:00,3.3504920757675403
03:00 - 04:00,3.339817241858558
04:00 - 05:00,3.3777857194009346
05:00 - 06:00,3.4964882349104034
06:00 - 07:00,3.9083269514210173
07:00 - 08:00,4.2571226792237695
08:00 - 09:00,4.468650073002294
09:00 - 10:00,4.543080113120368
10:00 - 11:00,4.519497465833202
11:00 - 12:00,4.54884106770133
12:00 - 13:00,4.5565586637691915
13:00 - 14:00,4.555713394646851
14:00 - 15:00,4.497975011520856
15:00 - 16:00,4.504972563521538
16:00 - 17:00,4.540486509574042
17:00 - 18:00,4.571464057594615
18:00 - 19:00,4.590114162204195
19:00 - 20:00,4.632807477404779
20:00 - 21:00,4.584165972084024
21:00 - 22:00,4.35285783593826
22:00 - 23:00,4.060814343952107
23:00 - 24:00,3.77520910552315
